week,date,kind,lecture,topic,reading,hw,hw_posted,hw_due,quiz,note
1,2025-09-02,lecture,1,"Introduction to Probability and Statistics, with examples",,,,,,
1,2025-09-04,lecture,2,"Basic set theory, experiments and events",,,,,,
2,2025-09-09,lecture,3,"Probability functions, probability space",,HW1,2025-09-12,2025-09-19,Quiz 1,
2,2025-09-11,lecture,4,"Combinatorics, counting and probability",,,,,,
3,2025-09-16,lecture,5,"Conditional probability, independence, Bayes' theorem",,HW2,2025-09-19,2025-09-26,Quiz 2,
3,2025-09-18,lecture,6,Random variables,,,,,,
4,2025-09-23,lecture,7,Cumulative distribution function; discrete and continuous RVs,,HW3,2025-09-26,2025-10-03,Quiz 3,
4,2025-09-25,lecture,8,"Parameters of RVs: expected value, variance, standard deviation",,,,,,
5,2025-09-30,lecture,9,"Discrete families: uniform, Bernoulli, binomial, hypergeometric, negative binomial, geometric, Poisson",,HW4,2025-10-03,2025-10-10,Quiz 4,
5,2025-10-02,lecture,10,"Continuous families: uniform, normal, gamma, exponential, chi-square, beta",,,,,,
6,2025-10-07,review,11,Review for Midterm 1,,,,,,
6,2025-10-09,exam,,Midterm 1,,,,,,
7,2025-10-14,holiday,,No class — Fall Break,,HW5,2025-10-17,2025-10-24,Quiz 5,
7,2025-10-16,lecture,12,"Joint distributions: joint pmf/pdf, marginals, conditionals",,,,,,
8,2025-10-21,lecture,13,"Joint distributions, continued",,HW6,2025-10-24,2025-10-31,Quiz 6,
8,2025-10-23,lecture,14,"Joint distributions: expected values, covariance, correlation, linear models",,,,,,
9,2025-10-28,lecture,15,Correlation and linear models,,HW7,2025-10-31,2025-11-14,Quiz 7,Syllabus listed 11/07; the deadline was moved to 11/14.
9,2025-10-30,lecture,16,"Random samples, linear combinations of RVs, statistics and their sampling distributions",,,,,,
10,2025-11-04,review,17,Review for Midterm 2,,,,,,
10,2025-11-06,exam,,Midterm 2,,,,,,
11,2025-11-11,lecture,18,Central limit theorem and applications,,HW8,2025-11-14,2025-11-21,Quiz 8,
11,2025-11-13,lecture,19,Point estimation: variance and bias of estimators,,,,,,
12,2025-11-18,lecture,20,"Estimators, continued",,HW9,2025-11-21,2025-11-26,Quiz 9,
12,2025-11-20,lecture,21,Examples of estimators and their properties,,,,,,
13,2025-11-25,lecture,22,"Point estimation, continued",,,,,,
13,2025-11-27,holiday,,No class — Thanksgiving,,,,,,
14,2025-12-02,lecture,23,Point estimators,,HW10,2025-12-05,2025-12-12,Quiz 10,
14,2025-12-04,lecture,24,Method of moments,,,,,,
15,2025-12-09,lecture,25,Maximum likelihood estimation,,,,,,
15,2025-12-11,review,26,Review for the final exam,,,,,,
